theta0 theta1 theta2 fc_t_min
-0.20944 -0.20944 -0.20944 0.287849
-0.20944 -0.20944 -0.188496 0.315733
-0.20944 -0.20944 -0.167552 0.375524
-0.20944 -0.20944 -0.146608 0.391045
-0.20944 -0.20944 -0.125664 0.424719
-0.20944 -0.20944 -0.10472 0.44299
-0.20944 -0.20944 -0.0837758 0.465334
-0.20944 -0.20944 -0.0628319 0.504463
-0.20944 -0.20944 -0.0418879 0.563088
-0.20944 -0.20944 -0.020944 0.591413
-0.20944 -0.20944 0 0.601887
-0.20944 -0.20944 0.020944 0.659631
-0.20944 -0.20944 0.0418879 0.69272
-0.20944 -0.20944 0.0628319 0.74992
-0.20944 -0.20944 0.0837758 0.717869
-0.20944 -0.20944 0.10472 0.774424
-0.20944 -0.20944 0.125664 0.811618
-0.20944 -0.20944 0.146608 0.867429
-0.20944 -0.20944 0.167552 0.922832
-0.20944 -0.20944 0.188496 0.933344
-0.20944 -0.20944 0.20944 0.987856
-0.20944 -0.188496 -0.20944 0.316914
-0.20944 -0.188496 -0.188496 0.376808
-0.20944 -0.188496 -0.167552 0.393218
-0.20944 -0.188496 -0.146608 0.409862
-0.20944 -0.188496 -0.125664 0.433789
-0.20944 -0.188496 -0.10472 0.467749
-0.20944 -0.188496 -0.0837758 0.506004
-0.20944 -0.188496 -0.0628319 0.564888
-0.20944 -0.188496 -0.0418879 0.581819
-0.20944 -0.188496 -0.020944 0.603515
-0.20944 -0.188496 0 0.637097
-0.20944 -0.188496 0.020944 0.694841
-0.20944 -0.188496 0.0418879 0.752326
-0.20944 -0.188496 0.0628319 0.809525
-0.20944 -0.188496 0.0837758 0.866415
-0.20944 -0.188496 0.10472 0.868275
-0.20944 -0.188496 0.125664 0.868275
-0.20944 -0.188496 0.146608 0.890166
-0.20944 -0.188496 0.167552 0.946405
-0.20944 -0.188496 0.188496 0.986348
-0.20944 -0.188496 0.20944 1.00928
-0.20944 -0.167552 -0.20944 0.377743
-0.20944 -0.167552 -0.188496 0.414521
-0.20944 -0.167552 -0.167552 0.452804
-0.20944 -0.167552 -0.146608 0.435112
-0.20944 -0.167552 -0.125664 0.479516
-0.20944 -0.167552 -0.10472 0.54092
-0.20944 -0.167552 -0.0837758 0.56036
-0.20944 -0.167552 -0.0628319 0.564809
-0.20944 -0.167552 -0.0418879 0.615119
-0.20944 -0.167552 -0.020944 0.638632
-0.20944 -0.167552 0 0.69661
-0.20944 -0.167552 0.020944 0.754354
-0.20944 -0.167552 0.0418879 0.808762
-0.20944 -0.167552 0.0628319 0.846809
-0.20944 -0.167552 0.0837758 0.808762
-0.20944 -0.167552 0.10472 0.83633
-0.20944 -0.167552 0.125664 0.893141
-0.20944 -0.167552 0.146608 0.949678
-0.20944 -0.167552 0.167552 1.00592
-0.20944 -0.167552 0.188496 1.06184
-0.20944 -0.167552 0.20944 1.03229
-0.20944 -0.146608 -0.20944 0.438299
-0.20944 -0.146608 -0.188496 0.455674
-0.20944 -0.146608 -0.167552 0.446748
