theta0 theta1 theta2 fc_t_min
-1.0472 -0.314159 0.628319 0
-1.0472 -0.314159 0.733038 0
-1.0472 -0.314159 0.837758 0
-1.0472 -0.314159 0.942478 0
-1.0472 -0.314159 1.0472 0
-1.0472 -0.20944 -1.0472 0
-1.0472 -0.20944 -0.942478 0
-1.0472 -0.20944 -0.837758 0
-1.0472 -0.20944 -0.733038 0
-1.0472 -0.20944 -0.628319 0
-1.0472 -0.20944 -0.523599 0
-1.0472 -0.20944 -0.418879 0
-1.0472 -0.20944 -0.314159 0
-1.0472 -0.20944 -0.20944 0
-1.0472 -0.20944 -0.10472 0.0223575
-1.0472 -0.20944 0 0.162278
-1.0472 -0.20944 0.10472 0.233111
-1.0472 -0.20944 0.20944 0.30313
-1.0472 -0.20944 0.314159 0.35983
-1.0472 -0.20944 0.418879 0.338057
-1.0472 -0.20944 0.523599 0.178087
-1.0472 -0.20944 0.628319 0.0565199
-1.0472 -0.20944 0.733038 0
-1.0472 -0.20944 0.837758 0
-1.0472 -0.20944 0.942478 0
-1.0472 -0.20944 1.0472 0
-1.0472 -0.10472 -1.0472 0
-1.0472 -0.10472 -0.942478 0
-1.0472 -0.10472 -0.837758 0
-1.0472 -0.10472 -0.733038 0
-1.0472 -0.10472 -0.628319 0
-1.0472 -0.10472 -0.523599 0
-1.0472 -0.10472 -0.418879 0
-1.0472 -0.10472 -0.314159 0
-1.0472 -0.10472 -0.20944 0
-1.0472 -0.10472 -0.10472 0.197192
-1.0472 -0.10472 0 0.345291
-1.0472 -0.10472 0.10472 0.409807
-1.0472 -0.10472 0.20944 0.418396
-1.0472 -0.10472 0.314159 0.390923
-1.0472 -0.10472 0.418879 0.354604
-1.0472 -0.10472 0.523599 0.205481
-1.0472 -0.10472 0.628319 0.0472779
-1.0472 -0.10472 0.733038 0
-1.0472 -0.10472 0.837758 0
-1.0472 -0.10472 0.942478 0
-1.0472 -0.10472 1.0472 0
-1.0472 0 -1.0472 0
-1.0472 0 -0.942478 0
-1.0472 0 -0.837758 0
-1.0472 0 -0.733038 0
-1.0472 0 -0.628319 0
-1.0472 0 -0.523599 0
-1.0472 0 -0.418879 0
-1.0472 0 -0.314159 0
-1.0472 0 -0.20944 0.176379
-1.0472 0 -0.10472 0.335799
-1.0472 0 0 0.403181
-1.0472 0 0.10472 0.45489
-1.0472 0 0.20944 0.423646
-1.0472 0 0.314159 0.395783
-1.0472 0 0.418879 0.359463
-1.0472 0 0.523599 0.212043
-1.0472 0 0.628319 0.0832781
-1.0472 0 0.733038 0
-1.0472 0 0.837758 0
-1.0472 0 0.942478 0
-1.0472 0 1.0472 0
-1.0472 0.10472 -1.0472 0
-1.0472 0.10472 -0.942478 0
-1.0472 0.10472 -0.837758 0
-1.0472 0.10472 -0.733038 0
-1.0472 0.10472 -0.628319 0
-1.0472 0.10472 -0.523599 0
-1.0472 0.10472 -0.418879 0
-1.0472 0.10472 -0.314159 0.0680045
-1.0472 0.10472 -0.20944 0.303684
-1.0472 0.10472 -0.10472 0.404426
-1.0472 0.10472 0 0.459509
-1.0472 0.10472 0.10472 0.471165
-1.0472 0.10472 0.20944 0.439921
-1.0472 0.10472 0.314159 0.445131
-1.0472 0.10472 0.418879 0.376128
-1.0472 0.10472 0.523599 0.232387
-1.0472 0.10472 0.628319 0.0741836
-1.0472 0.10472 0.733038 0
-1.0472 0.10472 0.837758 0
-1.0472 0.10472 0.942478 0
-1.0472 0.10472 1.0472 0
-1.0472 0.20944 -1.0472 0
-1.0472 0.20944 -0.942478 0
-1.0472 0.20944 -0.837758 0
-1.0472 0.20944 -0.733038 0
-1.0472 0.20944 -0.628319 0
-1.0472 0.20944 -0.523599 0
-1.0472 0.20944 -0.418879 0
-1.0472 0.20944 -0.314159 0.22788
-1.0472 0.20944 -0.20944 0.32786
-1.0472 0.20944 -0.10472 0.361938
-1.0472 0.20944 0 0.417021
-1.0472 0.20944 0.10472 0.428677
-1.0472 0.20944 0.20944 0.436611
-1.0472 0.20944 0.314159 0.455746
-1.0472 0.20944 0.418879 0.38087
-1.0472 0.20944 0.523599 0.231603
-1.0472 0.20944 0.628319 0.110036
-1.0472 0.20944 0.733038 0
-1.0472 0.20944 0.837758 0
-1.0472 0.20944 0.942478 0
-1.0472 0.20944 1.0472 0
-1.0472 0.314159 -1.0472 0
-1.0472 0.314159 -0.942478 0
-1.0472 0.314159 -0.837758 0
-1.0472 0.314159 -0.733038 0
-1.0472 0.314159 -0.628319 0
-1.0472 0.314159 -0.523599 0
-1.0472 0.314159 -0.418879 0.127594
-1.0472 0.314159 -0.314159 0.31264
-1.0472 0.314159 -0.20944 0.383518
-1.0472 0.314159 -0.10472 0.441373
-1.0472 0.314159 0 0.456623
-1.0472 0.314159 0.10472 0.468278
-1.0472 0.314159 0.20944 0.476212
-1.0472 0.314159 0.314159 0.480337
-1.0472 0.314159 0.418879 0.316968
-1.0472 0.314159 0.523599 0.278695
-1.0472 0.314159 0.628319 0.0746554
-1.0472 0.314159 0.733038 0
-1.0472 0.314159 0.837758 0
-1.0472 0.314159 0.942478 0
-1.0472 0.314159 1.0472 0
-1.0472 0.418879 -1.0472 0
-1.0472 0.418879 -0.942478 0
-1.0472 0.418879 -0.837758 0
-1.0472 0.418879 -0.733038 0
-1.0472 0.418879 -0.628319 0
-1.0472 0.418879 -0.523599 0
-1.0472 0.418879 -0.418879 0.154181
-1.0472 0.418879 -0.314159 0.373334
-1.0472 0.418879 -0.20944 0.412007
-1.0472 0.418879 -0.10472 0.469862
-1.0472 0.418879 0 0.485112
-1.0472 0.418879 0.10472 0.496767
-1.0472 0.418879 0.20944 0.465523
-1.0472 0.418879 0.314159 0.402229
-1.0472 0.418879 0.418879 0.295465
-1.0472 0.418879 0.523599 0.26439
-1.0472 0.418879 0.628319 0.113968
-1.0472 0.418879 0.733038 0
-1.0472 0.418879 0.837758 0
-1.0472 0.418879 0.942478 0
-1.0472 0.418879 1.0472 0
-1.0472 0.523599 -1.0472 0
-1.0472 0.523599 -0.942478 0
-1.0472 0.523599 -0.837758 0
-1.0472 0.523599 -0.733038 0
-1.0472 0.523599 -0.628319 0
-1.0472 0.523599 -0.523599 0
-1.0472 0.523599 -0.418879 0.20377
-1.0472 0.523599 -0.314159 0.387998
-1.0472 0.523599 -0.20944 0.381173
-1.0472 0.523599 -0.10472 0.368495
-1.0472 0.523599 0 0.366726
-1.0472 0.523599 0.10472 0.384719
-1.0472 0.523599 0.20944 0.366172
-1.0472 0.523599 0.314159 0.371202
-1.0472 0.523599 0.418879 0.345414
-1.0472 0.523599 0.523599 0.307141
-1.0472 0.523599 0.628319 0.140062
-1.0472 0.523599 0.733038 0
-1.0472 0.523599 0.837758 0
-1.0472 0.523599 0.942478 0
-1.0472 0.523599 1.0472 0
-1.0472 0.628319 -1.0472 0
-1.0472 0.628319 -0.942478 0
-1.0472 0.628319 -0.837758 0
-1.0472 0.628319 -0.733038 0
-1.0472 0.628319 -0.628319 0
-1.0472 0.628319 -0.523599 0
-1.0472 0.628319 -0.418879 0.139167
-1.0472 0.628319 -0.314159 0.0802606
-1.0472 0.628319 -0.20944 0.264963
-1.0472 0.628319 -0.10472 0.228682
-1.0472 0.628319 0 0.255169
-1.0472 0.628319 0.10472 0.205382
-1.0472 0.628319 0.20944 0.218617
-1.0472 0.628319 0.314159 0.154217
-1.0472 0.628319 0.418879 0.180806
-1.0472 0.628319 0.523599 0.152138
-1.0472 0.628319 0.628319 0.0296796
-1.0472 0.628319 0.733038 0
-1.0472 0.628319 0.837758 0
-1.0472 0.628319 0.942478 0
-1.0472 0.628319 1.0472 0
-1.0472 0.733038 -1.0472 0
-1.0472 0.733038 -0.942478 0
-1.0472 0.733038 -0.837758 0
-1.0472 0.733038 -0.733038 0
-1.0472 0.733038 -0.628319 0
-1.0472 0.733038 -0.523599 0
-1.0472 0.733038 -0.418879 0
-1.0472 0.733038 -0.314159 0
-1.0472 0.733038 -0.20944 0
-1.0472 0.733038 -0.10472 0
-1.0472 0.733038 0 0
-1.0472 0.733038 0.10472 0
-1.0472 0.733038 0.20944 0
-1.0472 0.733038 0.314159 0
-1.0472 0.733038 0.418879 0
-1.0472 0.733038 0.523599 0
-1.0472 0.733038 0.628319 0
-1.0472 0.733038 0.733038 0
-1.0472 0.733038 0.837758 0
-1.0472 0.733038 0.942478 0
-1.0472 0.733038 1.0472 0
-1.0472 0.837758 -1.0472 0
-1.0472 0.837758 -0.942478 0
-1.0472 0.837758 -0.837758 0
-1.0472 0.837758 -0.733038 0
-1.0472 0.837758 -0.628319 0
-1.0472 0.837758 -0.523599 0
-1.0472 0.837758 -0.418879 0
-1.0472 0.837758 -0.314159 0
-1.0472 0.837758 -0.20944 0
-1.0472 0.837758 -0.10472 0
-1.0472 0.837758 0 0
-1.0472 0.837758 0.10472 0
-1.0472 0.837758 0.20944 0
-1.0472 0.837758 0.314159 0
-1.0472 0.837758 0.418879 0
-1.0472 0.837758 0.523599 0
-1.0472 0.837758 0.628319 0
-1.0472 0.837758 0.733038 0
-1.0472 0.837758 0.837758 0
-1.0472 0.837758 0.942478 0
-1.0472 0.837758 1.0472 0
-1.0472 0.942478 -1.0472 0
-1.0472 0.942478 -0.942478 0
-1.0472 0.942478 -0.837758 0
-1.0472 0.942478 -0.733038 0
-1.0472 0.942478 -0.628319 0
-1.0472 0.942478 -0.523599 0
-1.0472 0.942478 -0.418879 0
-1.0472 0.942478 -0.314159 0
-1.0472 0.942478 -0.20944 0
-1.0472 0.942478 -0.10472 0
-1.0472 0.942478 0 0
-1.0472 0.942478 0.10472 0
-1.0472 0.942478 0.20944 0
-1.0472 0.942478 0.314159 0
-1.0472 0.942478 0.418879 0
-1.0472 0.942478 0.523599 0
-1.0472 0.942478 0.628319 0
-1.0472 0.942478 0.733038 0
-1.0472 0.942478 0.837758 0
-1.0472 0.942478 0.942478 0
-1.0472 0.942478 1.0472 0
-1.0472 1.0472 -1.0472 0
-1.0472 1.0472 -0.942478 0
-1.0472 1.0472 -0.837758 0
-1.0472 1.0472 -0.733038 0
-1.0472 1.0472 -0.628319 0
-1.0472 1.0472 -0.523599 0
-1.0472 1.0472 -0.418879 0
-1.0472 1.0472 -0.314159 0
-1.0472 1.0472 -0.20944 0
-1.0472 1.0472 -0.10472 0
-1.0472 1.0472 0 0
-1.0472 1.0472 0.10472 0
-1.0472 1.0472 0.20944 0
-1.0472 1.0472 0.314159 0
-1.0472 1.0472 0.418879 0
-1.0472 1.0472 0.523599 0
-1.0472 1.0472 0.628319 0
-1.0472 1.0472 0.733038 0
-1.0472 1.0472 0.837758 0
-1.0472 1.0472 0.942478 0
-1.0472 1.0472 1.0472 0
-0.942478 -1.0472 -1.0472 0
-0.942478 -1.0472 -0.942478 0
-0.942478 -1.0472 -0.837758 0
-0.942478 -1.0472 -0.733038 0
-0.942478 -1.0472 -0.628319 0
-0.942478 -1.0472 -0.523599 0
-0.942478 -1.0472 -0.418879 0
-0.942478 -1.0472 -0.314159 0
-0.942478 -1.0472 -0.20944 0
-0.942478 -1.0472 -0.10472 0
-0.942478 -1.0472 0 0
-0.942478 -1.0472 0.10472 0
-0.942478 -1.0472 0.20944 0
-0.942478 -1.0472 0.314159 0
-0.942478 -1.0472 0.418879 0
-0.942478 -1.0472 0.523599 0
-0.942478 -1.0472 0.628319 0
-0.942478 -1.0472 0.733038 0
-0.942478 -1.0472 0.837758 0
-0.942478 -1.0472 0.942478 0
-0.942478 -1.0472 1.0472 0
-0.942478 -0.942478 -1.0472 0
-0.942478 -0.942478 -0.942478 0
